,time,open,high,low,close,tick_volume,spread,real_volume
12249,1668513600,1.04006,1.04808,1.03914,1.04376,40697,16,0
12250,1668528000,1.04382,1.04437,1.03475,1.03842,53530,16,0
12251,1668542400,1.03844,1.0388,1.02792,1.03419,48390,16,0
12252,1668556800,1.0347,1.03604,1.03299,1.03427,21290,16,0
12253,1668571200,1.03429,1.03861,1.03367,1.03727,29551,16,0
12254,1668585600,1.03727,1.04246,1.03651,1.04192,36816,16,0
12255,1668600000,1.0419100000000001,1.04378,1.03832,1.03901,34055,16,0
12256,1668614400,1.03904,1.04117,1.03702,1.0383,41861,16,0
12257,1668628800,1.03829,1.0404,1.03538,1.03918,20228,16,0
12258,1668643200,1.03923,1.03974,1.03732,1.03767,11833,16,0
12259,1668657600,1.03766,1.03825,1.03589,1.03794,16508,16,0
12260,1668672000,1.03793,1.04057,1.0356,1.03629,26663,16,0
12261,1668686400,1.03628,1.03694,1.031,1.03115,40203,16,0
12262,1668700800,1.03117,1.0356,1.03044,1.03493,37631,16,0
12263,1668715200,1.03492,1.03688,1.03475,1.03612,16472,16,0
12264,1668729600,1.03568,1.03773,1.03562,1.03668,12026,16,0
12265,1668744000,1.03668,1.039,1.03603,1.03709,16659,16,0
12266,1668758400,1.03711,1.03951,1.03415,1.03808,32170,16,0
12267,1668772800,1.03808,1.03858,1.03559,1.03637,26755,16,0
12268,1668787200,1.03639,1.0371,1.03253,1.03323,32806,16,0
12269,1668801600,1.03323,1.03365,1.03126,1.03215,12611,16,0
12270,1668988800,1.03211,1.03324,1.02994,1.0311,12209,16,0
12271,1669003200,1.03109,1.03111,1.02714,1.02814,18115,16,0
12272,1669017600,1.02817,1.02862,1.02253,1.02261,28659,16,0
12273,1669032000,1.02263,1.02552,1.02254,1.02536,25874,16,0
12274,1669046400,1.02537,1.02619,1.0222,1.02316,29202,16,0
12275,1669060800,1.02315,1.02477,1.02297,1.02387,14953,16,0
12276,1669075200,1.02386,1.02676,1.02372,1.02598,11105,16,0
12277,1669089600,1.02597,1.02668,1.02449,1.02526,11823,16,0
12278,1669104000,1.02527,1.02854,1.02453,1.02681,26094,16,0
12279,1669118400,1.02678,1.02901,1.02552,1.02597,24143,16,0
12280,1669132800,1.02598,1.02951,1.02532,1.02951,26003,16,0
12281,1669147200,1.02949,1.03073,1.02889,1.02977,11797,16,0
12282,1669161600,1.0299,1.03203,1.02967,1.03099,8502,16,0
12283,1669176000,1.03099,1.03302,1.03073,1.03264,10931,16,0
12284,1669190400,1.03264,1.03478,1.03012,1.03243,22749,16,0
12285,1669204800,1.03243,1.03397,1.02957,1.0331,25517,16,0
12286,1669219200,1.03309,1.0383,1.03258,1.03629,37580,16,0
12287,1669233600,1.0363,1.04042,1.03585,1.0392,24121,16,0
12288,1669248000,1.03944,1.04244,1.03903,1.04226,13173,16,0
12289,1669262400,1.04228,1.04477,1.04168,1.04332,13961,16,0
12290,1669276800,1.04331,1.04388,1.03991,1.04185,24098,16,0
12291,1669291200,1.04186,1.04284,1.03809,1.04219,23912,16,0
12292,1669305600,1.04223,1.04266,1.04007,1.0408,18229,16,0
12293,1669320000,1.04081,1.04133,1.04004,1.04068,6109,16,0
12294,1669334400,1.04025,1.04143,1.03952,1.04089,9696,16,0
12295,1669348800,1.04089,1.04284,1.04038,1.04102,12912,16,0
12296,1669363200,1.04102,1.04274,1.03815,1.03925,23873,16,0
12297,1669377600,1.03925,1.04208,1.03603,1.03717,23261,16,0
12298,1669392000,1.03718,1.04105,1.03538,1.04052,26132,16,0
12299,1669406400,1.04052,1.04136,1.0384,1.03897,10631,16,0
12300,1669593600,1.03694,1.0383,1.03403,1.03473,13808,16,0
12301,1669608000,1.03475,1.03641,1.03423,1.03499,13493,16,0
12302,1669622400,1.035,1.04556,1.03472,1.04469,29553,16,0
12303,1669636800,1.0447,1.04959,1.04381,1.04621,30529,16,0
12304,1669651200,1.0462,1.04621,1.03674,1.03689,34964,16,0
12305,1669665600,1.03688,1.03722,1.03294,1.03336,15609,16,0
12306,1669680000,1.0336,1.03617,1.03332,1.03589,11712,16,0
12307,1669694400,1.03588,1.03935,1.03462,1.03858,17876,16,0
12308,1669708800,1.03858,1.03919,1.03499,1.03639,31706,16,0
12309,1669723200,1.0364,1.03927,1.03239,1.03292,27612,16,0
12310,1669737600,1.03293,1.03722,1.03248,1.03394,35584,16,0
12311,1669752000,1.03392,1.03456,1.03192,1.03226,15203,16,0
12312,1669766400,1.03238,1.03522,1.03181,1.0347,14066,16,0
12313,1669780800,1.0347,1.03602,1.03395,1.03476,11859,16,0
12314,1669795200,1.03476,1.03805,1.03349,1.03571,22680,16,0
12315,1669809600,1.03572,1.03914,1.03457,1.03581,26801,16,0
12316,1669824000,1.03582,1.03989,1.02894,1.03141,41871,16,0
12317,1669838400,1.03141,1.04279,1.03053,1.03996,40080,16,0
12318,1669852800,1.04025,1.04469,1.03985,1.04254,20516,16,0
12319,1669867200,1.0425,1.04506,1.04181,1.04447,18308,16,0
12320,1669881600,1.04448,1.04632,1.03922,1.04406,32940,16,0
12321,1669896000,1.04405,1.05128,1.0417,1.04886,30751,16,0
12322,1669910400,1.04887,1.05335,1.04686,1.05065,49001,16,0
12323,1669924800,1.05066,1.05296,1.04953,1.05227,22023,16,0
12324,1669939200,1.05195,1.05388,1.05055,1.05125,13135,16,0
12325,1669953600,1.05126,1.05277,1.05043,1.05224,14587,16,0
12326,1669968000,1.05225,1.05442,1.0512,1.0529,30711,16,0
12327,1669982400,1.05292,1.05439,1.04273,1.04615,31741,16,0
12328,1669996800,1.04614,1.05332,1.04441,1.05246,46541,16,0
12329,1670011200,1.05249,1.05412,1.05096,1.05398,16456,16,0
12330,1670198400,1.05293,1.05732,1.05285,1.05672,14466,16,0
12331,1670212800,1.05671,1.05839,1.05565,1.05824,12673,16,0
12332,1670227200,1.05823,1.05824,1.05296,1.05584,26231,16,0
12333,1670241600,1.05583,1.05941,1.05186,1.05651,26743,16,0
12334,1670256000,1.05648,1.05677,1.04896,1.04946,36347,16,0
12335,1670270400,1.04945,1.05054,1.04794,1.04902,14639,16,0
12336,1670284800,1.04837,1.0518,1.04825,1.05097,11536,16,0
12337,1670299200,1.05097,1.05143,1.04824,1.04932,17778,16,0
12338,1670313600,1.04932,1.05086,1.04748,1.04934,29059,16,0
12339,1670328000,1.04933,1.05321,1.04906,1.05127,24853,16,0
12340,1670342400,1.05126,1.05283,1.04788,1.04813,35307,16,0
12341,1670356800,1.04812,1.04818,1.04584,1.04584,13778,16,0
12342,1670371200,1.04612,1.04732,1.04543,1.0472,10770,16,0
12343,1670385600,1.04719,1.04756,1.04572,1.04657,13162,16,0
12344,1670400000,1.04657,1.04835,1.04424,1.0475,28591,16,0
12345,1670414400,1.04751,1.05466,1.04717,1.05416,29171,16,0
12346,1670428800,1.05419,1.05488,1.04874,1.05172,42959,16,0
12347,1670443200,1.05171,1.05278,1.05012,1.05012,17708,16,0
12348,1670457600,1.05037,1.05144,1.04939,1.05008,11779,16,0
12349,1670472000,1.05009,1.05066,1.0493,1.05026,13377,16,0
12350,1670486400,1.05026,1.05302,1.04886,1.04939,22654,16,0
12351,1670500800,1.04938,1.0531,1.04899,1.05195,24126,16,0
12352,1670515200,1.05195,1.05641,1.05164,1.05432,32641,16,0
12353,1670529600,1.05433,1.05628,1.05375,1.05464,17095,16,0
12354,1670544000,1.05495,1.05846,1.05495,1.05783,13865,16,0
12355,1670558400,1.0578400000000001,1.05859,1.05654,1.05763,15568,16,0
12356,1670572800,1.05761,1.05873,1.05459,1.05564,24455,16,0
12357,1670587200,1.05567,1.0568,1.05016,1.05379,29574,16,0
12358,1670601600,1.05383,1.05575,1.05182,1.05447,37801,16,0
12359,1670616000,1.05446,1.05553,1.05281,1.05318,15637,16,0
12360,1670803200,1.05271,1.05353,1.0505,1.05117,12479,16,0
12361,1670817600,1.05117,1.05193,1.05054,1.05156,11757,16,0
12362,1670832000,1.05156,1.0564,1.0507900000000001,1.05585,24308,16,0
12363,1670846400,1.05585,1.05769,1.05525,1.05708,20659,16,0
12364,1670860800,1.05709,1.05793,1.05168,1.05335,33149,16,0
12365,1670875200,1.05334,1.05381,1.05098,1.05337,18244,16,0
12366,1670889600,1.05288,1.05487,1.05269,1.05458,9167,16,0
12367,1670904000,1.05457,1.05534,1.05304,1.05501,12186,16,0
12368,1670918400,1.05507,1.05601,1.05304,1.05422,23929,16,0
12369,1670932800,1.05425,1.06607,1.05272,1.06457,31931,16,0
12370,1670947200,1.06464,1.06725,1.06099,1.06138,55599,16,0
12371,1670961600,1.06136,1.06403,1.06096,1.06286,23562,16,0
12372,1670976000,1.06312,1.06382,1.06198,1.06338,14258,16,0
12373,1670990400,1.06339,1.06378,1.06189,1.06253,8765,16,0
12374,1671004800,1.06252,1.06642,1.06181,1.06614,27877,16,0
12375,1671019200,1.06613,1.06713,1.06354,1.06458,26704,16,0
12376,1671033600,1.06456,1.06668,1.06308,1.06506,31509,16,0
12377,1671048000,1.06505,1.06943,1.06202,1.06785,48569,16,0
12378,1671062400,1.06798,1.06818,1.0659,1.06617,10796,16,0
12379,1671076800,1.06619,1.06643,1.06449,1.06575,12495,16,0
12380,1671091200,1.06575,1.06601,1.06049,1.0621,25535,16,0
12381,1671105600,1.06207,1.06671,1.0606,1.06517,32191,16,0
12382,1671120000,1.06516,1.07354,1.05919,1.05991,51689,16,0
12383,1671134400,1.05991,1.06374,1.05914,1.06213,17884,16,0
12384,1671148800,1.06202,1.06463,1.06173,1.0641,13530,16,0
12385,1671163200,1.0641,1.06617,1.06398,1.06448,14322,16,0
12386,1671177600,1.06445,1.06624,1.06093,1.06106,26727,16,0
12387,1671192000,1.06105,1.06388,1.06084,1.06333,25102,16,0
12388,1671206400,1.06335,1.06481,1.05968,1.06044,42139,16,0
12389,1671220800,1.06042,1.06165,1.05835,1.05854,16613,16,0
12390,1671408000,1.05795,1.06057,1.05795,1.06055,12566,16,0
12391,1671422400,1.06056,1.06123,1.06004,1.06067,12330,16,0
